Date,Open ,High,Low,Close,Close - Open,High - Open,Low - Open,High - Low
17-Sep-24,32.65,59.85,-50.1,1.7,-30.95,27.2,-82.75,109.95
18-Sep-24,14.7,421.05,6.7,335.35,320.65,406.35,-8,414.35
19-Sep-24,72.65,257.55,6.35,76.75,4.1,184.9,-66.3,251.2
20-Sep-24,84.45,501.7,4.05,385.55,301.1,417.25,-80.4,497.65
23-Sep-24,68.75,205.05,1.7,163.9,95.15,136.3,-67.05,203.35
24-Sep-24,6.55,85.1,-103.75,-69.45,-76,78.55,-110.3,188.85
25-Sep-24,-68.7,124.15,-70.1,104.1,172.8,192.85,-1.4,194.25
26-Sep-24,-22.3,214.2,-41.85,167.7,190,236.5,-19.55,256.05
27-Sep-24,-28.4,-28.4,-282.25,-247.5,-219.1,0,-253.85,253.85
30-Sep-24,-108.7,-56.7,-448.45,-427.65,-318.95,52,-339.75,391.75
01-Oct-24,-69.8,128.8,-69.8,-2.85,66.95,198.6,0,198.6
03-Oct-24,-262.2,-151.2,-657.65,-595.9,-333.7,111,-395.45,506.45
04-Oct-24,-86.25,154.2,-321.55,-259.75,-173.5,240.45,-235.3,475.75
07-Oct-24,19.6,123.05,-501.3,-400.7,-420.3,103.45,-520.9,624.35
08-Oct-24,90.6,289.95,-7.55,231.75,141.15,199.35,-98.15,297.5
09-Oct-24,65.3,371.5,14.7,93.15,27.85,306.2,-50.6,356.8
10-Oct-24,85.25,275.15,26.05,218.65,133.4,189.9,-59.2,249.1
11-Oct-24,-23.7,-2.05,-237.65,-152.1,-128.4,21.65,-213.95,235.6
14-Oct-24,41.6,276,18.2,245,203.4,234.4,-23.4,257.8
15-Oct-24,90.5,96.95,-48.9,5.9,-84.6,6.45,-139.4,145.85
16-Oct-24,-58.1,120.3,-58.15,18.9,77,178.4,-0.05,178.45
17-Oct-24,22,42.15,-351,-298.6,-320.6,20.15,-373,393.15
18-Oct-24,-32.95,403.75,-154.85,354.35,387.3,436.7,-121.9,558.6
21-Oct-24,158.7,275.7,-39,16.6,-142.1,117,-197.7,314.7
22-Oct-24,45.7,170.05,-291.85,-254.35,-300.05,124.35,-337.55,461.9
23-Oct-24,-103.1,203.2,-103.3,51.65,154.75,306.3,-0.2,306.5
24-Oct-24,19.45,213.75,-20.95,102.15,82.7,194.3,-40.4,234.7
25-Oct-24,56.15,136.15,-303.1,-121.45,-177.6,80,-359.25,439.25
28-Oct-24,155,300.85,93.55,129.15,-25.85,145.85,-61.45,207.3
29-Oct-24,16.1,518.1,-62.05,495.95,479.85,502,-78.15,580.15
30-Oct-24,-149.3,-48.9,-363.25,-320.4,-171.1,100.4,-213.95,314.35
31-Oct-24,-70.55,20.65,-232.6,-150.85,-80.3,91.2,-162.05,253.25
01-Nov-24,34.4,132.9,-8.4,61.05,26.65,98.5,-42.8,141.3
04-Nov-24,50.3,50.35,-340.7,-287.35,-337.65,0.05,-391,391.05
05-Nov-24,-81.15,513.75,-240.45,468.65,549.8,594.9,-159.3,754.2
06-Nov-24,89.45,128.15,-30.95,52.3,-37.15,38.7,-120.4,159.1
07-Nov-24,-47.2,13.4,-309.35,-214.6,-167.4,60.6,-262.15,322.75
08-Nov-24,-18.1,70.45,-165.05,-132.05,-113.95,88.55,-146.95,235.5
11-Nov-24,-5.85,310.7,-106.7,125.4,131.25,316.55,-100.85,417.4
12-Nov-24,90.75,131.85,-473.7,-396.3,-487.05,41.1,-564.45,605.55
13-Nov-24,-47.45,68.7,-510.1,-425.25,-377.8,116.15,-462.65,578.8
14-Nov-24,-38.25,226.7,-48.85,61.9,100.15,264.95,-10.6,275.55
18-Nov-24,69.95,147.6,-5.7,57.4,-12.55,77.65,-75.65,153.3
19-Nov-24,103.9,208.45,32.15,145.35,41.45,104.55,-71.75,176.3
21-Nov-24,13.15,23.15,-308.2,-129.6,-142.75,10,-321.35,331.35
22-Nov-24,51.25,400.05,45.85,350.3,299.05,348.8,-5.4,354.2
25-Nov-24,413.9,512.05,308.2,434.95,21.05,98.15,-105.7,203.85
26-Nov-24,171.05,171.25,-104.7,-11.9,-182.95,0.2,-275.75,275.95
27-Nov-24,-5.85,154.85,-34.3,124.75,130.6,160.7,-28.45,189.15
28-Nov-24,40.35,206.5,-316.85,-251.95,-292.3,166.15,-357.2,523.35
29-Nov-24,48.55,115.85,-66.1,90.55,42,67.3,-114.65,181.95
02-Dec-24,23.25,91,-155.35,62.5,39.25,67.75,-178.6,246.35
03-Dec-24,126.85,275.15,66.1,223.9,97.05,148.3,-60.75,209.05
04-Dec-24,42.65,319.05,17.55,266.05,223.4,276.4,-25.1,301.5
05-Dec-24,34.35,312.25,-226.6,168.65,134.3,277.9,-260.95,538.85
06-Dec-24,0.6,99.6,-168.35,-27.55,-28.15,99,-168.95,267.95
09-Dec-24,-55.5,153.05,-77.3,18.9,74.4,208.55,-21.8,230.35
10-Dec-24,31.85,115.85,-41.2,80.35,48.5,84,-73.05,157.05
11-Dec-24,-46.85,62.75,-106.3,0.1,46.95,109.6,-59.45,169.05
12-Dec-24,-85.5,55.15,-107.25,-76.1,9.4,140.65,-21.75,162.4
13-Dec-24,-38.6,184.2,-450.25,153.45,192.05,222.8,-411.65,634.45
16-Dec-24,-33.5,51.3,-125.05,-23.4,10.1,84.8,-91.55,176.35
17-Dec-24,-80.65,-35.9,-407.45,-358.1,-277.45,44.75,-326.8,371.55
18-Dec-24,-57,14,-358.45,-300.55,-243.55,71,-301.45,372.45
19-Dec-24,-323.75,-220.9,-404.25,-291.75,32,102.85,-80.5,183.35
20-Dec-24,-72.15,51.55,-380.85,-314.9,-242.75,123.7,-308.7,432.4
