Date,Scrip,Name Moving Averages,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action
13-10-2023,HCLTECH,Hull Moving Average (9),1244.91,1 Min,Buy,1257.14,5 Min,Sell,1256.01,15 Min,Buy,1256.01,30 Min,Buy,1257.36,1 Hour,Sell,1257.36,2 Hour,Sell,1235.08,4 Hour,Buy,1244.91,1 Day,Buy,1260.45,1 Week,Sell,1233.47,1 Month,Buy
13-10-2023,HDFCAMC,Exponential Moving Average (10),2852.78,1 Min,Sell,2859.01,5 Min,Sell,2859.01,15 Min,Sell,2733.61,30 Min,Buy,2840.54,1 Hour,Buy,2809.16,2 Hour,Buy,2770.74,4 Hour,Buy,2733.61,1 Day,Buy,2733.61,1 Week,Buy,2370.69,1 Month,Buy
13-10-2023,HDFCAMC,Simple Moving Average (10),2852.45,1 Min,Sell,2859.52,5 Min,Sell,2859.52,15 Min,Sell,2715.35,30 Min,Buy,2838.41,1 Hour,Buy,2794.62,2 Hour,Buy,2757.21,4 Hour,Buy,2715.35,1 Day,Buy,2715.35,1 Week,Buy,2199.21,1 Month,Buy
13-10-2023,HDFCAMC,Exponential Moving Average (20),2854.12,1 Min,Sell,2865.38,5 Min,Sell,2865.38,15 Min,Sell,2687.2,30 Min,Buy,2807.61,1 Hour,Buy,2772.35,2 Hour,Buy,2731.01,4 Hour,Buy,2687.2,1 Day,Buy,2687.2,1 Week,Buy,2278.58,1 Month,Buy
13-10-2023,HDFCAMC,Simple Moving Average (20),2853.07,1 Min,Sell,2869.72,5 Min,Sell,2869.72,15 Min,Sell,2689.63,30 Min,Buy,2794.5,1 Hour,Buy,2759.08,2 Hour,Buy,2710.51,4 Hour,Buy,2689.63,1 Day,Buy,2689.63,1 Week,Buy,2111.2,1 Month,Buy
13-10-2023,HDFCAMC,Exponential Moving Average (30),2856.04,1 Min,Sell,2868.61,5 Min,Sell,2868.61,15 Min,Sell,2649.98,30 Min,Buy,2784.63,1 Hour,Buy,2749.09,2 Hour,Buy,2705.75,4 Hour,Buy,2649.98,1 Day,Buy,2649.98,1 Week,Buy,2269.7,1 Month,Buy
13-10-2023,HDFCAMC,Simple Moving Average (30),2855.17,1 Min,Sell,2871.26,5 Min,Sell,2871.26,15 Min,Sell,2636.9,30 Min,Buy,2773.02,1 Hour,Buy,2733.64,2 Hour,Buy,2693.01,4 Hour,Buy,2636.9,1 Day,Buy,2636.9,1 Week,Buy,2295.22,1 Month,Buy
13-10-2023,HDFCAMC,Exponential Moving Average (50),2859.81,1 Min,Sell,2867.68,5 Min,Sell,2867.68,15 Min,Sell,2576.59,30 Min,Buy,2754.04,1 Hour,Buy,2718.81,2 Hour,Buy,2666,4 Hour,Buy,2576.59,1 Day,Buy,2576.59,1 Week,Buy,2296.86,1 Month,Buy
13-10-2023,HDFCAMC,Simple Moving Average (50),2860.49,1 Min,Sell,2877.7,5 Min,Sell,2877.7,15 Min,Sell,2582.02,30 Min,Buy,2737.99,1 Hour,Buy,2697.96,2 Hour,Buy,2668.44,4 Hour,Buy,2582.02,1 Day,Buy,2582.02,1 Week,Buy,2473.45,1 Month,Buy
13-10-2023,HDFCAMC,Exponential Moving Average (100),2866.18,1 Min,Sell,2849.05,5 Min,Buy,2849.05,15 Min,Buy,2415.79,30 Min,Buy,2711.28,1 Hour,Buy,2667.18,2 Hour,Buy,2574.37,4 Hour,Buy,2415.79,1 Day,Buy,2415.79,1 Week,Buy,—,1 Month,—
